Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
503811,Siyaram Silk Mills Ltd-$,Ramesh Kumar Poddar,Promoter & Director,Equity Shares,2122615,4.68,Equity Shares,231168,0.00,Acquisition,Equity,2353783,5.19,08 Jun 2026,08 Jun 2026,10 Jun 2026,Gift,,,,,,,NA,11 Jun 2026
503811,Siyaram Silk Mills Ltd-$,Avnish Poddar,Promoter,Equity Shares,1740404,3.84,Equity Shares,228083,0.00,Acquisition,Equity,1968487,4.34,08 Jun 2026,08 Jun 2026,10 Jun 2026,Gift,,,,,,,NA,11 Jun 2026
503811,Siyaram Silk Mills Ltd-$,Ramesh Kumar Poddar,Promoter & Director,Equity Shares,2122615,4.68,Equity Shares,231168,0.00,Acquisition,Equity,2353783,5.19,08 Jun 2026,08 Jun 2026,10 Jun 2026,Gift,,,,,,,NA,11 Jun 2026
503811,Siyaram Silk Mills Ltd-$,Avnish Poddar,Promoter,Equity Shares,1740404,3.84,Equity Shares,228083,0.00,Acquisition,Equity,1968487,4.34,08 Jun 2026,08 Jun 2026,10 Jun 2026,Gift,,,,,,,NA,11 Jun 2026
503811,Siyaram Silk Mills Ltd-$,Gaurav Poddar,Promoter & Director,Equity Shares,2091814,4.61,Equity Shares,170583,0.00,Acquisition,Equity,2262397,4.99,08 Jun 2026,08 Jun 2026,10 Jun 2026,Gift,,,,,,,NA,11 Jun 2026
503811,Siyaram Silk Mills Ltd-$,Anurag Poddar,Promoter,Equity Shares,1740404,3.84,Equity Shares,228083,0.00,Acquisition,Equity,1968487,4.34,08 Jun 2026,08 Jun 2026,10 Jun 2026,Gift,,,,,,,NA,11 Jun 2026
503811,Siyaram Silk Mills Ltd-$,Ankit Poddar,Promoter,Equity Shares,2091813,4.61,Equity Shares,170583,0.00,Acquisition,Equity,2262396,4.99,08 Jun 2026,08 Jun 2026,10 Jun 2026,Gift,,,,,,,NA,11 Jun 2026
503811,Siyaram Silk Mills Ltd-$,Shrikishan Poddar,Promoter & Director,Equity Shares,1028593,2.27,Equity Shares,1028500,0.00,Disposal,Equity,93,0.00,08 Jun 2026,08 Jun 2026,10 Jun 2026,Gift,,,,,,,NA,11 Jun 2026
544455,GNG Electronics Ltd,Vidhi S Khandelwal,Promoter,Equity Shares,17935870,15.73,Equity Shares,4487203,390.00,Disposal,Equity,13448667,11.80,11 Jun 2026,11 Jun 2026,11 Jun 2026,Market Sale,,,,,,,NSE,11 Jun 2026
530825,Daikaffil Chemicals India Ltd,Mikusu India Private Limited,Promoter,Equity Shares,2935969,48.93,Equity Shares,11275,471719.00,Acquisition,Equity,2947244,49.12,10 Jun 2026,10 Jun 2026,11 Jun 2026,Market Purchase,,,,,,,BSE,11 Jun 2026
